mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.1490600903828939,0.008277317477789793,0.014413038889567057,0.0035485604562274843,,2,50,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",0.8089887640449438,0.7752808988764045,0.793233082706767,0.7925009152093718,0.013770913682790204,24
0.3025725682576497,0.035860590012033025,0.018485864003499348,0.00245089687321749,,2,100,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.7940074906367042,0.7940074906367042,0.7819548872180451,0.7899899561638177,0.0056816517388573445,26
0.4830302397410075,0.018050469523398418,0.047291835149129234,0.010862591219541065,,2,200,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.8014981273408239,0.8089887640449438,0.793233082706767,0.8012399913641782,0.006434819305640867,21
0.1477015813191732,0.025132387771478196,0.009061733881632486,0.0011537883182837878,,5,50,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50}",0.8202247191011236,0.8014981273408239,0.7857142857142857,0.8024790440520778,0.014105888872681435,19
0.261551300684611,0.015479603447552009,0.01828932762145996,0.0030896023013069636,,5,100,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",0.8202247191011236,0.8127340823970037,0.7894736842105263,0.8074774952362178,0.013092754183004854,15
0.5005766550699869,0.07254712945697495,0.03666917483011881,0.007374951727833264,,5,200,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",0.8127340823970037,0.8164794007490637,0.7969924812030075,0.8087353214496916,0.008443047442873853,5
0.1276820500691732,0.02003207655901805,0.00957949956258138,0.0015153984957815992,,10,50,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 50}",0.8127340823970037,0.8127340823970037,0.7969924812030075,0.807486881999005,0.007420661967339338,11
0.22885584831237793,0.025725022907508634,0.0195315678914388,0.00348781954190376,,10,100,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 100}",0.8164794007490637,0.8052434456928839,0.8007518796992481,0.8074915753803985,0.006614594717340917,9
0.5886544386545817,0.07037032586484596,0.04967999458312988,0.011344574381876908,,10,200,"{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 200}",0.8089887640449438,0.8127340823970037,0.8045112781954887,0.8087447082124788,0.003361378652788499,3
0.1344736417134603,0.004429955442400127,0.013284921646118164,0.002185483305287389,10,2,50,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",0.8052434456928839,0.8052434456928839,0.7969924812030075,0.8024931241962584,0.003889541961413998,18
0.282912810643514,0.0172730105678245,0.02188412348429362,0.007378886562773825,10,2,100,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.8202247191011236,0.8089887640449438,0.7969924812030075,0.8087353214496916,0.009486214359110168,5
0.5824104150136312,0.011417592087671256,0.04268892606099447,0.005393160994652295,10,2,200,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",0.8052434456928839,0.8277153558052435,0.8045112781954887,0.8124900265645386,0.010770082177865233,1
0.15848827362060547,0.0159838717786788,0.011687994003295898,0.00026606495073216324,10,5,50,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}",0.8052434456928839,0.8052434456928839,0.793233082706767,0.8012399913641782,0.005661739407996785,21
0.26077930132548016,0.012524982480388094,0.02866991360982259,0.014118324523206705,10,5,100,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.8089887640449438,0.8239700374531835,0.793233082706767,0.8087306280682981,0.012549636712076416,8
0.6102723280588785,0.005426858319112573,0.03071745236714681,0.00557197402562727,10,5,200,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",0.8052434456928839,0.8239700374531835,0.8045112781954887,0.8112415871138521,0.009005335579224923,2
0.16036232312520346,0.006676223844687514,0.013240178426106771,0.004377010163869198,10,10,50,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 50}",0.8052434456928839,0.8052434456928839,0.8007518796992481,0.8037462570283386,0.002117344514831159,17
0.2907100518544515,0.046580335153385985,0.02020581563313802,0.002198475669098792,10,10,100,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}",0.8202247191011236,0.8052434456928839,0.7969924812030075,0.807486881999005,0.009616270042082587,11
0.527367115020752,0.03769624248507391,0.03322537740071615,0.005428386464067736,10,10,200,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 200}",0.8164794007490637,0.8127340823970037,0.793233082706767,0.8074821886176115,0.01019099657650212,14
0.18541193008422852,0.023693707763157396,0.011848370234171549,0.0014394467080361202,20,2,50,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 50}",0.8089887640449438,0.7752808988764045,0.793233082706767,0.7925009152093718,0.013770913682790204,24
0.29355573654174805,0.015015150438476796,0.01575318972269694,0.002856246360564614,20,2,100,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}",0.7940074906367042,0.7940074906367042,0.7819548872180451,0.7899899561638177,0.0056816517388573445,26
0.48043616612752277,0.012087310778221411,0.028055667877197266,0.006428947255088138,20,2,200,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}",0.8014981273408239,0.8089887640449438,0.793233082706767,0.8012399913641782,0.006434819305640867,21
